,Titre,Language,genre,Directors,Liste acteurs,startYear,averageRating,Poster,weighted_rating
3581,Blade,en,Action,Stephen Norrington,"['Wesley Snipes', ' Shannon Lee', ' Traci Lords', ' Wesley Snipes']",1998,7.0,/r0RQ9ZOEZglLOeYDNJTehVTRoR6.jpg,6.998114329605064
3582,Gone in Sixty Seconds,en,Action,Dominic Sena,"['Todd Toon', ' Scott Rosenberg', ' James Duval', ' Nicolas Cage']",2000,6.0,/nb2TRrlSdgi8wZAxTHdhsN0yMJw.jpg,5.999885309033032
3583,Fear and Loathing in Las Vegas,en,Adventure,Terry Gilliam,"['Carmine Appice', ' Sam Andrew', ' David Brisbin', ' Johnny Depp']",1998,7.0,/u9ffgobMADj6GCafeImbov566j9.jpg,6.998164495449091
3584,Apollo 13,en,Adventure,Ron Howard,"['Kathleen Quinlan', ' Joseph Culp', ' Ron Howard', ' Tom Hanks']",1995,7.0,/6JQ9z3V9x4vlU2GSZx2yNO0PvuX.jpg,6.998235335024863
3585,Being John Malkovich,en,Comedy,Spike Jonze,"['Catherine Keener', ' Orson Bean', ' Michael Stipe', ' John Cusack']",1999,7.0,/gLhl4MBEC6yHTInwV7TxV1D3FLp.jpg,6.998444795150443
3586,Meet the Parents,en,Comedy,Jay Roach,"['Teri Polo', ' Cody Arens', ' Jon Abrahams', ' Ben Stiller']",2000,7.0,/wVjtQtzv9IcNRGnOOdcK797Sdxx.jpg,6.998443145044018
3587,As Good as It Gets,en,Comedy,James L. Brooks,"['Helen Hunt', ' Rebekah Johnson', ' Kaitlin Hopkins', ' Jack Nicholson']",1997,7.0,/q2645aW8vgg1g7RL5lil6K93yaA.jpg,6.998259155037503
3588,Rush Hour,en,Action,Brett Ratner,"['Chris Tucker', ' Jackie Chan', ' Elizabeth Peña']",1998,7.0,/jdfxpW5LF36sHsHjyH8CMBEG4TF.jpg,6.998078812131936
3589,The Boondock Saints,en,Action,Troy Duffy,"['Sean Patrick Flanery', ' Andrew Stevens', ' Ron Jeremy', ' Willem Dafoe']",1999,7.0,/fg6fhyKg3vbdGtnf9Hq27Q5gS3r.jpg,6.997808154924506
3590,What's Eating Gilbert Grape,en,Drama,Lasse Hallström,"['Lasse Hallström', ' Penelope Branning', ' Paulette Rubinstein', ' Johnny Depp']",1993,7.0,/jQLoOPwNxyILwDbdhn9DsfQz0Sg.jpg,6.997808434497733
3591,The Beach,en,Adventure,Danny Boyle,"['John Cale', ' Jocelyn Brown', ' Lars Arentz-Hansen', ' Leonardo DiCaprio']",2000,6.0,/4VgPflOJMxlqOYpAqXCm5J6BkYm.jpg,5.999866717219881
3592,Pitch Black,en,Action,David Twohy,"['Ken Wheat', ' Rhiana Griffith', ' Radha Mitchell']",2000,7.0,/j4iBVA49KDBX4ypfVcZxl1y7CCT.jpg,6.997831949168187
3593,Austin Powers: International Man of Mystery,en,Adventure,Jay Roach,"['Johnny Rivers', ' Mike Myers', ' Elizabeth Hurley']",1997,7.0,/1Ly0MRK2Na0aRpy2bD6GBRP3Rzx.jpg,6.997839389390334
3594,Mrs. Doubtfire,en,Comedy,Chris Columbus,"['Lisa Jakub', ' Carol Bawer', ' Robin Williams']",1993,7.0,/jx4NvllNGN7o5bpIhcCMh26Xwaj.jpg,6.998060017088964
3595,Contact,en,Drama,Robert Zemeckis,"['David Morse', ' Jay Leno', ' Angela Bassett', ' Jodie Foster']",1997,7.0,/yRF1qpaQPZJjiORDsR7eUHzSHbf.jpg,6.998103898074104
3596,Pretty Woman,en,Comedy,Garry Marshall,"['Laura San Giacomo', ' Richard Gere', ' Jason Alexander']",1990,7.0,/fgmdaCMxXClZm2ePteLzCPySB1n.jpg,6.998409619606088
3597,Total Recall,en,Action,Paul Verhoeven,"['Ray Baker', ' Michael Ironside', ' Rachel Ticotin', ' Arnold Schwarzenegger']",1990,7.0,/ikYpJ0AjGBNnAYFnPJDUVIOcduR.jpg,6.998428621911944
3598,Before Sunrise,en,Drama,Richard Linklater,"['Ethan Hawke', ' Julie Delpy', ' Christian Ankowitsch', ' Ethan Hawke']",1995,8.0,/jsQy4ZbPHA8hE2O6QU05PpofI61.jpg,7.996750213566724
3599,Magnolia,en,Drama,Paul Thomas Anderson,"['William H. Macy', ' Cory Buck', ' Philip Baker Hall', ' Tom Cruise']",1999,8.0,/jxkHxPiMfGiFvxSOduNV4oIKJI5.jpg,7.996756348590554
3600,Notting Hill,en,Comedy,Roger Michell,"['Michael Harm', ' Hugh Grant', ' Hugh Bonneville']",1999,7.0,/f1gMw3PVicfdq9thlvUIjJ5UdvS.jpg,6.9983491734394585
3601,From Dusk Till Dawn,en,Action,Robert Rodriguez,"['Juliette Lewis', ' Dave Alvin', ' Fred Williamson', ' Harvey Keitel']",1996,7.0,/ce0d4kM5KxT4x1Oq8JkSuNYevri.jpg,6.998349638909132
3602,Interview with the Vampire,en,Drama,Neil Jordan,"['Micha Bergese', ' Stephen Rea', ' Kirsten Dunst', ' Brad Pitt']",1994,7.0,/hldXwwViSfHJS0kIJr07KBGmHJI.jpg,6.998391571605556
3603,The Fugitive,en,Action,Andrew Davis,"['Tommy Lee Jones', ' David U. Hodges', ' Cress Horne', ' Harrison Ford']",1993,7.0,/3gzLGFBoJM1xlNk0Ulzp0cJ6uPp.jpg,6.9982412783449925
